Objects
100
,,Global Angle BOLT_2:BOLT_2,,,,,,Global Angle rvr5:rvr5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
134,0,0.004238,0.037831,1.012450,101.309380,1079.417969,181.091766,0.014239,0.005444,0.505411,329.584381,869.343506,151.151993
135,0,0.003089,0.037899,1.012623,101.319412,1079.411377,181.096329,0.014192,0.005383,0.505452,329.590485,869.336792,151.155075
136,0,0.004017,0.038006,1.012447,101.325066,1079.412354,181.101364,0.014270,0.005305,0.505378,329.591827,869.336487,151.157578
137,0,0.003909,0.038152,1.012502,101.314621,1079.412476,181.088654,0.014333,0.005367,0.505350,329.589691,869.338196,151.156525
138,0,0.003919,0.037937,1.012498,101.318947,1079.410034,181.091049,0.014293,0.005285,0.505454,329.589325,869.337585,151.152542
139,0,0.003882,0.038256,1.012755,101.323639,1079.412842,181.096710,0.014225,0.005291,0.505430,329.591064,869.343750,151.153214
140,0,0.003894,0.038220,1.012763,101.319420,1079.414917,181.083710,0.014151,0.005398,0.505514,329.590240,869.340271,151.146118
141,0,0.003731,0.038378,1.012738,101.314034,1079.412476,181.088806,0.014081,0.005343,0.505359,329.588287,869.334106,151.150299
142,0,0.003944,0.038147,1.012366,101.320900,1079.409058,181.105682,0.014138,0.005364,0.505342,329.589691,869.331970,151.157623
143,0,0.003083,0.038392,1.012761,101.329811,1079.403931,181.097229,0.014139,0.005449,0.505451,329.591492,869.337708,151.154617
144,0,0.003286,0.038084,1.012829,101.314255,1079.413452,181.091232,0.014122,0.005436,0.505369,329.586945,869.340027,151.150681
145,0,0.004198,0.038043,1.012384,101.319511,1079.412720,181.098129,0.014306,0.005346,0.505385,329.590332,869.342346,151.159561
146,0,0.003692,0.038142,1.012467,101.318649,1079.408325,181.097061,0.014251,0.005421,0.505452,329.590027,869.340149,151.160797
147,0,0.003734,0.038266,1.012643,101.316666,1079.409302,181.089188,0.014363,0.005439,0.505440,329.586487,869.335754,151.151230
148,0,0.003800,0.038482,1.012654,101.310623,1079.410278,181.084015,0.014240,0.005362,0.505422,329.587830,869.338806,151.153748
149,0,0.003743,0.038168,1.012290,101.317406,1079.406738,181.095245,0.014186,0.005440,0.505421,329.587219,869.341858,151.155396
150,0,0.003466,0.038248,1.012516,101.317970,1079.407959,181.088608,0.014188,0.005502,0.505372,329.588287,869.337402,151.154770
151,0,0.003118,0.038755,1.012834,101.321587,1079.406860,181.093765,0.014196,0.005330,0.505410,329.588013,869.334534,151.149368
152,0,0.004028,0.038033,1.012316,101.319450,1079.405884,181.091354,0.014202,0.005350,0.505323,329.590302,869.335815,151.157135
153,0,0.003234,0.037598,1.012716,101.317451,1079.412964,181.084808,0.014348,0.005385,0.505419,329.586304,869.337341,151.147339
154,0,0.003988,0.038131,1.012707,101.315796,1079.407715,181.087082,0.014138,0.005398,0.505473,329.587952,869.339600,151.149017
